Port of Entry,Type of Visit,Origin,Month,Number of Visitors
NMIA,WED,NEW ZEALAND,MAY,0.0
NMIA,WED,NEW ZEALAND,JUNE,0.0
NMIA,WED,NEW ZEALAND,JULY,0.0
NMIA,WED,NEW ZEALAND,AUGUST,0.0
NMIA,WED,NEW ZEALAND,SEPTEMBER,0.0
NMIA,WED,NEW ZEALAND,OCTOBER,0.0
NMIA,WED,NEW ZEALAND,NOVEMBER,0.0
NMIA,WED,NEW ZEALAND,DECEMBER,0.0
NMIA,WED,NORWAY,JANUARY,0.0
NMIA,WED,NORWAY,FEBRUARY,0.0
NMIA,WED,NORWAY,MARCH,0.0
NMIA,WED,NORWAY,APRIL,0.0
NMIA,WED,NORWAY,MAY,0.0
NMIA,WED,NORWAY,JUNE,2.0
NMIA,WED,NORWAY,JULY,2.0
NMIA,WED,NORWAY,AUGUST,2.0
NMIA,WED,NORWAY,SEPTEMBER,0.0
NMIA,WED,NORWAY,OCTOBER,0.0
NMIA,WED,NORWAY,NOVEMBER,0.0
NMIA,WED,NORWAY,DECEMBER,0.0
NMIA,WED,OTHER CARIBBEAN,JANUARY,1.0
NMIA,WED,OTHER CARIBBEAN,FEBRUARY,0.0
NMIA,WED,OTHER CARIBBEAN,MARCH,0.0
NMIA,WED,OTHER CARIBBEAN,APRIL,2.0
NMIA,WED,OTHER CARIBBEAN,MAY,0.0
NMIA,WED,OTHER CARIBBEAN,JUNE,0.0
NMIA,WED,OTHER CARIBBEAN,JULY,0.0
NMIA,WED,OTHER CARIBBEAN,AUGUST,0.0
NMIA,WED,OTHER CARIBBEAN,SEPTEMBER,0.0
NMIA,WED,OTHER CARIBBEAN,OCTOBER,0.0
NMIA,WED,OTHER CARIBBEAN,NOVEMBER,0.0
NMIA,WED,OTHER CARIBBEAN,DECEMBER,0.0
NMIA,WED,OTHER MEDITERRANEAN,JANUARY,0.0
NMIA,WED,OTHER MEDITERRANEAN,FEBRUARY,0.0
